id	name	code1	зак1	зак2	мид	price1	price1_name	price2	price2_name	price3	price3_name	price4	price4_name	desc	Comment	prim2	lk1	lk2	lk3	lk4	cat	cat2	url	path	ord	code2	code3	prim	img_path	img1	img2	img3	img4	img5	par1	text1	par2	text2	par3	text3	w	h	l	m	desc1
185	Запор боковых бортов	5320-8505011			600	670	аналог, Наб.Челны							Запор бортов КАМАЗ в сборе (ПАО КАМАЗ)  Артикул: 5320-8505011  Альтернативные описания: Запор КАМАЗ бортов в сборе (ОАО КАМАЗ)  Производитель: ПАО КАМАЗ  Применяется для кузова и платформы в моделях КАМАЗ-4310, КАМАЗ-5320, КАМАЗ-53212, КАМАЗ-5410, КАМАЗ-54112, КАМАЗ-5511, КАМАЗ-55102, КАМАЗ-65115, КАМАЗ-43101  Ширина, м - 0.07  Высота, м - 0.05  Длина, м - 0.22  Вес, кг – 1.17, новое поступление 16-02-19							борта		5320-8505011-zapor-bokovyh-bortov	/kuzov/catalog/	185			КамАЗ-4310, КамАЗ-5320, КамАЗ-53212, КамАЗ-5410, КамАЗ-54112, КамАЗ-5511 (2003), КамАЗ-55102, КамАЗ-43101, КамАЗ-4310 (каталог 2004 г), КамАЗ-43114, КамАЗ-43118 (2002), КамАЗ-4326 (каталог 2003г), НефАЗ / НефАЗ-8332 (2009) (2009), НефАЗ / НефАЗ-9334 (2008) (2008), НефАЗ / НефАЗ-8332 (2010) (2010), НефАЗ / НефАЗ-9334-10 (11, 13, 16, 17) (2008), Общий (см. мод-ции), КамАЗ-65115 (2001)	/kuzov/img/	5320-8505011.jpg											0.259	0.075	0.059	1.169	
187	Обвязочный крючок борта НЕФАЗ	крюк-борта1				50	аналог, Наб.Челны														борта		kryuk-borta1-obvyazochnyj-kryuchok-borta-nefaz	/kuzov/catalog/	187				/kuzov/img/	kriuk-borta1.jpg															
189	Сетка маслозаборника	740-1011310			49	50	аналог, Наб.Челны							<p>Сетка маслозаборника КАМАЗ (ПАО КАМАЗ)</p><p>Артикул - 740-1011310</p><p>Альтернативные описания - Сетка КАМАЗ маслозаборника (ОАО КАМАЗ)</p><p>Производитель: ПАО КАМАЗ</p><p>Применение:<br></br></p><ul><li>КАМАЗ-4310</li><li>КАМАЗ-4326</li><li>КАМАЗ-5320</li><li>КАМАЗ-53212</li><li>КАМАЗ-5410</li><li>КАМАЗ-54112</li><li>КАМАЗ-5511</li><li>КАМАЗ-55102</li><li>ЛИАЗ-5256</li></ul><ul><li>Ширина, м - 0.102</li><li>Высота, м - 0.026</li><li>Длина, м - 0.102</li><li>Вес, кг - 0.06</li></ul>							борта		740-1011310-setka-maslozabornika	/kuzov/catalog/	189			ЛиАЗ / ЛиАЗ 5256, УралАЗ / УРАЛ-4320, УралАЗ / УРАЛ-43202, УралАЗ / УРАЛ-5557, УралАЗ / УРАЛ-4320 (1981), КамАЗ-4310 (каталог 2004 г)	/kuzov/img/	740-1011310.jpg											0.102	0.102	0.027	0.015	
191	Сетка топливного бака/ Горловина бака	5320-1101090			185	210	аналог, Наб.Челны							сетка нержавейка							борта		5320-1101090-setka-toplivnogo-baka-gorlovina-baka	/kuzov/catalog/	191				/kuzov/img/	5320-1101090.jpg															
193	Тяга газа (короткая)	740-1108050			397,5	450	аналог, Наб.Челны														борта		740-1108050-tyaga-gaza-korotkaya	/kuzov/catalog/	193				/kuzov/img/	740-1108050.jpg															
195	Тяга газа телескопическая	5320-1108040			290	320	аналог, Наб.Челны							Толкатель КАМАЗ (тяга акселератора телескопическая) (ПАО КАМАЗ)  Артикул: 5320-1108040  Альтернативные описания: Толкатель КАМАЗ-ЕВРО педали акселератора в сборе (ОАО КАМАЗ)  Производитель: ПАО КАМАЗ  Применяется для двигателя и системы питания двигателя в моделях КАМАЗ-4326, КАМАЗ-65115, КАМАЗ-6540, КАМАЗ-43114, КАМАЗ-43118, КАМАЗ-4326, КАМАЗ-53228, КАМАЗ-65111  Ширина, м - 0.04  Высота, м - 0.025  Длина, м - 0.65  Вес, кг – 0.5							борта		5320-1108040-tyaga-gaza-teleskopicheskaya	/kuzov/catalog/	195			КамАЗ-4326 (2001), КамАЗ-43114, КамАЗ-43118 (2002), КамАЗ-4326 (каталог 2003г), КамАЗ-4350 (4х4) (2004), КамАЗ-43261 (Евро-1, 2) (2007), КамАЗ-43253 (Часть-1) (2011), КамАЗ-65115 (2001), КамАЗ-53228, 65111 (2004), КамАЗ-43501 (4х4) (2007), КамАЗ-4350 (4х4) (2004), КамАЗ-6520 (Euro-2, 3) (2009), КамАЗ-53229 (Евро 2) (2010), КамАЗ-65201 Евро 2-3 (2016), КамАЗ-6540, КамАЗ-65201 Евро 2-3 (2016)	/kuzov/img/	5320-1108040.jpg											0.67	0.08	0.025	0.51	
197	Тяга газа телескопическая Евро	6520-1108040			485	540	аналог, Наб.Челны							Толкатель КАМАЗ (тяга акселератора телескопическая) (ПАО КАМАЗ)   Артикул - 6520-1108040  Дополнительное описание - Толкатель КАМАЗ-6520, 6460 педали акселератора (ОАО КАМАЗ) , ТОЛКАТЕЛЬ ПЕДАЛИ ГАЗА 6520 ПАО КАМАЗ  Применяется в системе питания двигателя автомобиля.  Применяется для автомобилей KAMAZ-5360 KAMAZ-5460 KAMAZ-5460 (2005 г.) KAMAZ-6460 KAMAZ-6520   Характеристики:  Ширина, м 0.156  Высота, м 0.03  Длина, м 0.89  Вес, кг 0.73							борта		6520-1108040-tyaga-gaza-teleskopicheskaya-evro	/kuzov/catalog/	197			КамАЗ-43501 (4х4) (2007), КамАЗ-4350 (4х4) (2004), КамАЗ-43261 (Евро-1, 2) (2007), КамАЗ-43253 (Часть-1) (2011), КамАЗ-53229 (Евро 2) (2010), КамАЗ-6460, КамАЗ-5360, КамАЗ-6520, КамАЗ-5460, КамАЗ-5460 (каталог 2005 г.) (2005), КамАЗ-6520 (Euro-2, 3) (2009), КамАЗ-6522 (2005), КамАЗ-6520 (Euro-2, 3) (2009), КамАЗ-65201 Евро 2-3 (2016)	/kuzov/img/	6520-1108040.jpg											0.89	0.156	0.03	0.65	
199	Клапан ТНВД	33-1111282-01			302	340	аналог, Наб.Челны														борта		33-1111282-01-klapan-tnvd	/kuzov/catalog/	199				/kuzov/img/	33-1111282-01.jpg															
201	Клапан- жиклер фильтра тонкой очистки топлива (ремкомплект)	740-1117155				39	аналог, Наб.Челны														борта		740-1117155-klapan-zhikler-filtra-tonkoj-ochistki-topliva-remkomplekt	/kuzov/catalog/	201				/kuzov/img/	740-1117155.jpg															
203	Наконечник тяги газа	740-1108056				80	аналог, Наб.Челны														борта		740-1108056-nakonechnik-tyagi-gaza	/kuzov/catalog/	203				/kuzov/img/	740-1108056.jpg														0.06	
