url	dir	city	term	cost_dvig	point1	point2	point3	dist_chelny	dist_krasnodar	dist_moscow	latitude	longitude	text1	text2	text3	text4	img1	img2
abakan	dostavka/abakan	Абакан	7-11	14950	655002, республика Хакасия, г. Абакан, ул. Хлебная, д. 30			3417	5099	4471	53,711417	91,431806						
achinsk	dostavka/achinsk	Ачинск	8-12	11550				2947	4629	4001								
almetevsk	dostavka/almetevsk	Альметьевск	1-2		423450, г. Альметьевск, ул. Полевая, д. 1В, торгово-складской комплекс «Строительный рынок» (после АЗС Татнефть поворот в комплекс)			113	1828	1078	54,898416	52,319537						
angarsk	dostavka/angarsk	Ангарск	10-13	12910	665800, г. Ангарск, 215-й квартал, стр. 16			4120	5802	5174	52,4934424	103,84139						
arhangelsk	dostavka/arhangelsk	Архангельск	4-5	6705	Архангельская область, г.Архангельск, Талажское шоссе, д. 4			1666	2582	1236	64,570049	40,576311						
astrahan	dostavka/astrahan	Астрахань	5-7	6025	414057, г.Астрахань, ул. Рождественского, д. 17			1613	822	1392	46,311861	48,056556						
barnaul	dostavka/barnaul	Барнаул	6-8	11550	Алтайский край, г.Барнаул, Чернышевского, 293 А			2563	4244	3617	53,326144	83,749225						
batajsk	dostavka/batajsk	Батайск	5-7		Ростовская обл., г. Батайск, п. Койсуг, ул. М. Горького, д. 701Г			1671	262	1085	47,112491	39,669351						
belgorod	dostavka/belgorod	Белгород	4-5		Белгородская обл, г.Белгород, ул. Кирпичный тупик, д.2А			1521	958	663	50,588102	36,570581						
berezniki	dostavka/berezniki	Березники	5-6	7980	Пермский край, г.Березники, ул. Большевистская, д. 8			707	2608	1616	59,400103	56,80364						
bijsk	dostavka/bijsk	Бийск	6-8	11550	г. Бийск, ул. Петра Мерлина, д. 63, корп. 2			2686	4368	3740	52,525411	85,168142						
